_id	content	name
65	:#土耳其入侵叙利亚# 今天啥情况了？ ?	约翰斯拉实
66	:【叙西北战事使10万人沦为难民:流离失所饥寒交加】据法新社1月10日报道称，联合国人道主义经济援助计划协调专员办公室称，2017年12月1日至2018年1月9日期间，这场战事已使99569名叙利亚平民从伊德利卜省南部地区及邻近的哈马省东北地区逃离。目前，叙利亚政府军正在对该地区伊斯兰武装分子展开攻势。 ?	央广军事
67	:#腊八# 记90岁姥爷来家里的第一天[兔子]看着看着新闻台，突然说了一句:你看看叙利亚和土耳其又打起来了，这勾心斗角的图个啥[doge] ?	puff小爽
68	:勇敢的骚年，快快报效故乡回来建设祖国Bashulia，天天在北叙利亚摆拍碰瓷终究不是正路 ?	ed209dn
69	":January 10, 2018 - 叙利亚政府军空袭过后，一对夫妇怀抱婴儿坐在台阶上哭泣，其中一名婴儿已在空袭中丧生，叙利亚东古塔区。2017年12月29日迄今，叙政府军几乎每天向大马士革郊区反对派控制地区发动多次空袭，已累计造成132人丧生。目前东古塔区只有107 @iDaily每日视野 http://t.cn/RQZNsHO ?"	爱之幻小童鞋
70	:#土耳其入侵叙利亚# 土耳其媒体公布三名“烈士”家属照。三人都是土耳其特种部队士官。这下漂亮的军嫂要别人来照顾了。原本这几年叙利亚阿芙琳库尔德区与土耳其接壤地带一直还算安静。非要搞个“橄榄枝“军事行动入侵。怪谁呢？[并不简单] ?	草蜢一号
71	【欧盟驻华大使： 欧洲仍是世界上最安全地区之一】欧盟驻华大使史伟在回答卫星通讯社关于欧洲恐怖袭击是否对中国旅游者有威胁的问题时表示，虽然欧盟国家2017年发生一系列恐怖袭击事件，但对旅游者而言，欧洲仍是世界上最安全的地区之一。http://t.cn/RQ3Wm0l ?	_Aquaria_
72	【俄驻叙利亚空军基地遭炮击 至少7架飞机被毁】俄媒3日报道称，2017年12月31日，叙利亚叛军炮击俄罗斯在叙境内的赫梅明空军基地，造成至少7架俄罗斯飞机被摧毁。报道称，此事件是自2015年11月在叙发动空袭以来俄罗斯遭受的最大军事损失，根据非官方数据，约10名军人在袭击中受伤。http://t.cn/RH8y0ko ?	五一反邪教
73	:据BBC报道，有图像显示在土耳其入境叙利亚境内的地面部队中有德国豹式坦克。为此德国部分左翼和右翼政客都出面反对德国继续向土耳其出口和升级军事装备，并要求政府澄清对土耳其攻击叙利亚阿夫林地区的立场。详情请见：http://t.cn/RQ3dKkG ?	AlphaNews
74	:《泰晤士报》报道：土耳其发动“橄榄枝行动”之后，英籍华裔志愿者黄磊率领一支队伍出发北上支援受到土军攻击的库尔德武装。黄磊出生在四川，毕业于曼彻斯特大学，三年前开始来到叙利亚战场抗击IS，是叙利亚战场上资格最老的华人志愿兵之一。 ?	世界说globusnews
75	":January 23, 2018 - 叙利亚东古塔区遭到毒气弹袭击，一名受感染的小女孩正在接受雾化治疗，大马士革。1月22日，叙利亚反对派控制的东古塔区（Eastern Ghouta）遭到毒气袭击，造成包括儿童在内的至少21名平民受伤。根据叙利亚人权观察组织报道，毒气弹很可 @iDaily每日视野 http://t.cn/RQnOaoP ?"	iDaily每日视野
76	:当地时间2018年1月23日，土耳其安卡拉，土耳其为在叙利亚参加“橄榄枝”军事行动战死的士兵举行葬礼，总统埃尔多安出席，伤心落泪。 http://t.cn/RQ31Svq ?	靠谱同学和平使者
77	:发表了一篇转载博文《[转载]土耳其怒掴美国攻其代理武装，兵出叙利亚不怕得罪超级大国？》[转载]土耳其怒掴美国攻其代理武装，兵出叙利亚不怕得罪超级大国？ ?	TN快乐天马
79	#逆時光# 千呼万唤屎出来……明晚19:10，《逆時光》第二季正式开更！ ?	李昊鹏V博
136	:叙利亚当地时间2017年8月20日下午 ?	2263692983_852_379
78	:美国战争研究所（ISW）判断的叙利亚Afrin 战区土耳其军进攻企图。其实土耳其军的进攻方向未必会那么多，有的方向是佯攻。ISW的专业水平很弱。 ?	valkyrie20607
80	中国昨天在安理会支持俄罗斯提出叙利亚化学武器调查新草案，法国不反对。要查就查到底，现在isis跑了，可以实地调查了。美国代表黑莉今天却表示，反对成立国际调查叙利亚化武机制提议，大讲全人类禁止化武的重要性[doge]奇怪，现在是调查最方便时刻，凶手即将水落石出，美国怎么会反对国际调查？ ?	Pl3dmm
81	:土耳其哈塔伊省…叙利亚难民报名参加“叙利亚自由军”，参与土耳其在叙利亚阿夫林地区搞得军事行动“橄榄枝”. ?	北京麦子2010
82	:【国际新闻】美国领导的国际联军在叙利亚幼发拉底河谷中部发动空袭，击毙多达150名伊斯兰国武装分子。http://t.cn/RQ3nCCr照片：AFP/Getty ?	8频道新闻新加坡
83	:【厉害了！中国雷达助叙利亚发现F-35并击落，美军瞬间陷入恐慌】（来自 @一点资讯）厉害了！中国雷达助叙利亚发现F-35并击落，美军瞬间陷入恐慌 ?	天成笔名
84	:北约第二军事强国?土耳其首战惨败:让叙利亚民兵包了饺子    发现一张好图，大家快来看看~ http://t.cn/RQ3RWxf ?	草原的风1
