"_id","content","name"
"77",":快八个月没见经历了很多很多的事情，熬过了很久很久，换来了和小罗见到的一天半。见到我就开始捏我的脸，然后到哪里都拉着我的手。坐车拉着，走路拉着，看电影拉着，吃饭拉着，只要在一块儿的时间全都拉着。第一天你只能偷偷出来三个小时，你就陪着我，就算哪儿也不去，也觉得时间好快。晚上你怕我在宾馆饿了，叫了一堆吃的，一直叮嘱我晚上不要出去，干什么都要和他说，就算见面了。晚上上床还是给我打电话让我早点睡觉。今天你请了一天假出来陪我。天气冷给我戴围巾，穿情侣鞋，戴情侣手机壳，情侣手镯，抓娃娃，陪我喂鸽子，看电影，吃烤鱼…一直没放开过我的手晚上回部队的时候，没忍住偷偷在你怀里一直哭。抬头的时候，就看到小罗眼眶红红的，眼角都是眼泪，即使这样，还一直那么用力抱着我然后埋在我脖子里逞强说自己没哭。然后跟个傻子一样捏着我的脸说 “我爱你听见没有”。第一次看到小罗为我哭。怎么说呢，也会想到他会舍不得会难过，以为只有我会哭，但没想到，越来小罗舍不得我可能不比我少。看到小罗哭的时候，心里在想，这个情商超级低的少年，真的想要一直一直和他在一起[爱心]️一天半，但所有情侣之间干的事情小罗都陪我做了。硬要把身上的钱都塞给我，不停的说我们不分手，一直问我以后要不要嫁给他。是真的真的很舍不得呀。还有四五个月就休假了，还有七个月就退伍了。还好还好，我会慢慢等，我们俩的爱情也要慢慢谈，然后就是 要一直一直一直在一起[爱心]️ I [爱心]️U LZP@关于军人的异地恋","想要一颗草莓果"
"81",":【投票应援】猫眼年度人气艺人总决选开启http://t.cn/RQCaias @猫眼电影 ​","王大哥的小风车"
"103",":#雄狮(2017)[电影]#[心] ​","卷半半"
"78","刘烨年年得先进， \r因为领导的一句“把好处留给别人把坏处留给自己”\r厂长滥用职权 将原本属于刘烨的房子分给厂长小舅子蛙儿，\r气不过的刘烨只好撬门了。\r而沙溢谈了3个月的恋爱提出分手 被人说成“耍流氓”\r年轻时候的刘烨和沙溢真的好帅啊！！！#今日腊八节# 分享下好片子，大家暖暖心http://t.cn/RQ3ep0V http://t.cn/z82RAPO","5566xiaozhu"
"79","第90届#奥斯卡#完整提名公布！《水形物语》13项提名领跑，《敦刻尔克》8项紧随其后，《三块广告牌》7项，《魅影缝匠》和《至暗时刻》6项，《请你的名字呼唤我》4项，其中甜茶成为历史上入围影帝年龄第三年轻的演员，梅姨第21次入围学院，诺兰首次入围最佳导演，恭喜他们吧！【所有提名请看图1】 ​","赵小胖flying"
"80",":看到王力宏开着P40撞向日舰的时候，我一下就想到了淞沪会战中架机撞向出云号的沈崇诲，同样的清华学子，同样的美丽年华。抗战期间的中国空军虽弱小但却顽强，高志航、阎海文、乐以琴、沈崇诲……抗战早期的中国空军人用英勇的军人意志同远强大于己的日军拼死搏斗。然而他们的事迹在狗血抗日神剧泛滥的今天仍鲜有人知。紫金山北麓的抗日航空烈士纪念馆前冷冷清清，怕是不少在南京待过的人也不知道这么个地方吧。真实的历史原型放在那里，王力宏的角色形象有血有肉，最后一声“妈妈，对不起”让我泪水止不停。个人觉得《无问西东》是部好电影，也希望更多的英雄事迹能通过银屏被人所知，手撕鬼子的脑残片真的是够够够了","小鑫鑫大步向前走"
"82",":115网盘，会员每天收获小进步，积累起来就是大进步;每天收获小幸福，积攒起来便成大幸福。来怀念我们曾经许下的地老和天荒。你用尽你的青春和精力，去覆盖我们曾经走过的记忆和时光。我在怀念你，你在看片网盘忘记我。很多事情只有经历之后才知道，电影限制同一件事情，跟不同的人也会是另外一个世界。这个社会是存在不公平的，不要抱怨，因为没有用!人总是在反省中进步的!","狮子座薇薇"
"83",":看个无聊吓人的电影嗑了108克的瓜子 ​","一条未读简讯"
"84",":申论老师强推几部电影&纪录片：《印度的女儿》《可可西里》《神秘巨星》 《岗仁波齐》[导演] ​","没办法就是不服"
"85",":#国民老岳父公的红包#好运说来就来！国民老岳父公 的红包中抽到了@微博电影 提供的“5元电影券”，靠谱又惊喜，快来嗨抢吧！国民老岳父公 的红包 ​","河马家的傲娇喵"
"86",":我们就好像这整个天空的美丽烟火，#百度云网盘#这样的明亮，黄色[广告]小电影这样的温暖，这样的绚烂，看片[广告]网盘可最后还是要在风中渐渐熄灭成冰冷的尘烟。所以，电影[广告]限制我把我无望的缠绵给你，和你一起沉沦。买片事实上，宇从未为我放过烟火。其实，卖片黄昏还有另外一种隐喻，隐喻着一种无奈的宿命，夕阳坠落，黑夜才会降临，所以，小电影小片午夜命中注定，你我无法共存！","此微博已被盗号这逼爱发啥发啥吧"
"87",":#雄狮(2017)[电影]#今晚看了《雄狮》，简直无法用语言表达，拍的太棒了。 哈尔滨·哈尔滨工程大学 ​","糖炒栗子lw"
"88",":瓜：“MY就是那种睡过就忘的人...”我（睡过就忘？！）：“哈....？不是的吧...？你怎么知道...？”瓜：“约过...”我（？约？？）：“什么时候...？”瓜：“今年圣诞节...哦不...去年圣诞节...我前一天说一起去看电影第二天她就忘了...”[吃瓜]请不要把隔天忘事说成睡过就忘...天已经这么冷了不要再拿这种笑话热场了...","休nashew"
"89",":成龙严肃地表示！谈起拍摄这部电影的初衷：完全是为了完成自己带国宝回国的梦想。【十二俏皮可爱王力宏《十二生肖》电影主题曲出炉】《十二生肖》讲述的是一个寻宝的故事 ​","小葵爱大同"
"90",":#赵丽颖#[兔子]#女儿国国王赵丽颖#[haha][haha][haha]即使有一千个人从我身边经过，我依然能够轻松的认出你来，因为其他人踏着的是地，而你却踏着我的心，情人节邀你和我一起看电影，不能拒绝的那种[阴险]@赵丽颖@赵丽颖@赵丽颖 ​","夭色花姿"
"91",":该读书读书，该看电影看电影，该背单词背单词，该听音乐听音乐[心]生活真美好[爱你] ​","时雨若山彧"
"92",":我对自己说：”跨过去两性信箱，春天不远了两性指南，我永远两性信箱姐不要失去发芽的心情两性教科书。而我果然就不会被两性电影寒冬与剪枝击败性生活姿势。虽然有时静夜想想做a视频，也会黯然流下泪来那点事。苏小灰灰爱飞的秒拍视频 ​","中国9-8地产投资俱乐部"
"93",":活得漂亮的#百度云网盘#，不一定非要有轰轰烈烈的百度云电影，能够拥有一个知你懂你怜你爱你的黄色[太开心]小电影，只要有一个，就足够让自己的微信小电影生活丰富完整；于平凡的生活之中领略到爱情之奇妙。 ​","YY糖小兔"
"94",":henchen123 玉不琢，不成器，人不学不知道。——《礼记》 人生没有后悔，但可以转弯。生活，是一部悲喜剧，只有#百度云网盘##百度云网盘#卖片、可能小电影小片午夜，盘，会员你懂的妹掷起，看片网盘挨着掷下去，对了点的二人射覆。”电影[广告]限制宝琴一掷，是个三。买片岫烟宝玉等皆掷的不对，直到香菱方掷了个三。卖片、可能小电影小片午夜融入其中，才能知其苦乐。生命中的幸福并不是O顽主一种完美和永恒收起全文d","谁轮回谁的宿醉"
"95",":超级推荐，超级催泪，阿米尔汗的电影一如既往的棒！ ​","你的大可爱哦"
"96","一次偶遇，留下记忆中的香味，寻香而至，邂逅最有魅力的TA。情人节#有人礼你吗#，ELLE携手新版《流星花园》5位主角爱“礼”寻香#TAKEYOURCHANCE#1月26日，SuperELLE独家呈现。SuperELLE的秒拍视频 ​","沈月半的好运来"
